Score, Title, Reviews Count, Link, Release Date
53.76,53.76,Chase H.Q. II,16,https://segaretro.org/Chase_H.Q._II,1992-10-23
69.44,69.44,Cheese Cat-Astrophe Starring Speedy Gonzales,16,https://segaretro.org/Cheese_Cat-Astrophe_Starring_Speedy_Gonzales,1995-05-01
82.08,82.08,Chess,2,https://segaretro.org/Chess_(Mega_Drive),
44.95,44.95,Chester Cheetah: Too Cool to Fool,10,https://segaretro.org/Chester_Cheetah:_Too_Cool_to_Fool,1993-02-01
39.19,39.19,Chester Cheetah: Wild Wild Quest,13,https://segaretro.org/Chester_Cheetah:_Wild_Wild_Quest,1994-01-01
44.85,44.85,Chi Chi's Pro Challenge Golf,10,https://segaretro.org/Chi_Chi%27s_Pro_Challenge_Golf,1993-06-25
57.93,57.93,Chibi Maruko-chan: Waku Waku Shopping,6,https://segaretro.org/Chibi_Maruko-chan:_Waku_Waku_Shopping,1992-01-14
70.51,70.51,Chiki Chiki Boys,35,https://segaretro.org/Chiki_Chiki_Boys,1992-10-16
66.39,66.39,Chou Kyuukai Miracle Nine,3,https://segaretro.org/Chou_Kyuukai_Miracle_Nine,1995-07-21
83.54,83.54,Chuck Rock,31,https://segaretro.org/Chuck_Rock,1991-12-01
77.44,77.44,Chuck Rock II: Son of Chuck,33,https://segaretro.org/Chuck_Rock_II:_Son_of_Chuck,1993-09-01
50.05,50.05,Classic Collection,2,https://segaretro.org/Classic_Collection,1996-06-01
64.73,64.73,ClayFighter,22,https://segaretro.org/ClayFighter,1994-12-01
47.45,47.45,Cliffhanger,10,https://segaretro.org/Cliffhanger,1993-11-01
60.26,60.26,Clue,12,https://segaretro.org/Clue,1992-12-01
75.83,75.83,Coach K College Basketball,9,https://segaretro.org/Coach_K_College_Basketball,1995-03-01
71.17,71.17,College Football USA 96,6,https://segaretro.org/College_Football_USA_96,1995-07-15
61.36,61.36,College Football USA 97,5,https://segaretro.org/College_Football_USA_97,1996-09-01
74.07,74.07,College Football's National Championship,4,https://segaretro.org/College_Football%27s_National_Championship,1994-08-01
57.33,57.33,College Football's National Championship II,3,https://segaretro.org/College_Football%27s_National_Championship_II,1995-11-01
68.97,68.97,College Slam,5,https://segaretro.org/College_Slam,1996-02-29
